Rank,Player,Position,Team,DOB,Age,Previous Rank,+/- Change,Notes/Outlook
159,Moussa Diabate,C,CHA,2002-01-21,24.5,153.0,-6,"As expected, Charlotte got some frontcourt help behind Moussa with Hannes Steinbach aned Nas Reid, but I think he should remain a steady piece."
160,Damian Lillard,PG/SG,POR,1990-07-15,36.0,199.0,39,"Dame Time returns this fall, but how much do we get coming off the achilles tear and the heavy guard rotation (Morant, Henderson, Holiday)?"
161,Brandin Podziemski,PG/SG/SF,GSW,2003-02-25,23.4,148.0,-13,"Podz had a career-high in scoring this year, but it feels like he's never going to get much respect online. Still a decent player."
162,Aaron Nesmith,SF/PF,IND,1999-10-16,26.7,155.0,-7,Nesmith only played about half the season with Indiana's tanking antics. He'll be back to his normal defined 3&D role this season.
163,Naji Marshall,SF/PF,DAL,1998-01-24,28.5,179.0,16,I've been a longtime Marshall truther and he's been surging recently. One of the more undervalued win-now fantasy targets out there.
164,Christian Braun,SG/SF,DEN,2001-04-17,25.2,140.0,-24,I'm still in on Christian Braun being a good player in his career despite Peyton Watson running away as the better player. 
165,Hugo Gonzalez,SG/SF,BOS,2006-02-05,20.4,193.0,28,This offseason has given us numerous signs that Hugo is a very valuable player that Boston really believes in. Is the sophomore breakout coming?
166,Quentin Grimes,SG/SF,PHI -> LAL,2000-05-08,26.2,161.0,-5,Name value and the Lakers tax on Grimes is going to lead to him being overvalued. Fine player but got paid too much in free agency.
167,Will Riley,SF/PF,WAS,2006-02-10,20.4,160.0,-7,Will Riley has had some ridiculous stretches of play for Washington. AJ Dybantsa hurts him short term. It's on him to improve this year to stick.
168,Kasparas Jakucionis,PG/SG,MIA -> MIL,2006-05-29,20.1,192.0,24,Kasparas ends up in a situation where he can commend more minutes in a rebuild. Still hopeful he can pan out despite the short term logjam in the backcourt.
169,1.18 / Cameron Carr,SG/SF,LAL,2004-11-21,21.6,NEW,NEW,Carr is in a great situation to play a good role as a rookie. He should've never fallen to the mid-20s in real life.
170,1.19 / Allen Graves,PF,TOR,2006-07-28,20.0,NEW,NEW,Graves is a statistical darling with a lot to like about his player. I have a lot of questions about his long term upside.
171,Andrew Wiggins,SF/PF,MIA,1995-02-23,31.4,176.0,5,Andrew Wiggins comes back to Miami on a more team-friendly deal. They'll need a lot of him with Miami's depleted depth post-Giannis.
172,Isaiah Stewart,PF/C,DET -> MEM,2001-05-22,25.1,202.0,30,Stewart ends up going to a pretty favorable situation in Memphis as the backup big to Zach Edey. I think he'll be more fantasy relevant than people might expect.
173,Collin Gillespie,PG,PHO,1999-06-25,27.1,208.0,35,Gillespie has been excellent this year for Phoenix. I expect him to get a nice payday to stay with the Suns this summer.
174,Julian Champagnie,SF/PF,SAS,2001-06-29,25.0,230.0,56,Champagnie has had a much more impactful season/playoffs than the counting stats might tell you. Is there more coming for him?
175,Mitchell Robinson,C,NYK -> BOS,1998-04-01,28.3,214.0,39,Mitchell Robinson finds a new home in Boston. Injuries remain a concern for him but him and Neemias Queta should maintain solid roles.
176,Jonathan Kuminga,SF/PF,ATL -> FA,2002-10-06,23.8,125.0,-51,I think we've figured out who Jonathan Kuminga is by now and isn't going to hit those high upside marks we hoped for. Fascinated to see where he signs.
177,Wendell Carter Jr.,PF/C,ORL,1999-04-16,27.2,165.0,-12,"One of the more consistently undervalued big men, WCJ had a bit of a resurgence after a bad 2024-2025 season. He and Vuc will split time."
178,Noa Essengue,SF/PF,CHI,2006-12-18,19.6,183.0,5,Essengue is far from a complete product and has a lot to work on still after missing his entire rookie year. He'll have to work his way into a reserve role.
179,1.20 / Labaron Philon,PG/SG,PHI,2005-11-24,20.6,NEW,NEW,Philon is going to require some serious patience. He's currently the fourth guard in the pecking order for Philadelphia.
180,1.21 / Nate Ament,SF/PF,MIL,2006-12-10,19.6,NEW,NEW,"There's a lot of red flags in Nate Ament's profile, especially for categories leagues, but he should get plenty of run in Milwaukee."
181,Dillon Brooks,SF/PF,PHO,1996-01-22,30.5,186.0,5,Brooks had an electric year with Phoenix and scoring 20+ PPG for the first time. I don't expect this to continue but he should continue playing a steady role.
182,Kevin Porter Jr.,PG/SG,MIL,2000-05-04,26.2,150.0,-32,KPJ returns to Milwaukee on a player option with a very muddled backcourt. He'll likely still get minutes.
183,Herbert Jones,SF/PF,NOP,1998-10-06,27.8,171.0,-12,"Despite years of trade rumors, Herb is still in New Orleans and will continue anchoring their entire defense."
184,Max Christie,SG/SF,DAL,2003-02-10,23.4,168.0,-16,Remember Max Christie's hot run early into his Dallas tenure? Still remains a good player but he's not going much further than this.
185,Davion Mitchell,PG/SG,MIA,1998-09-05,27.9,195.0,10,"Miami gutting their depth chart definitely helps Davion Mitchell's case, but I don't expect him to keep a firm starting job after free agency."
186,Gui Santos,SF/PF,GSW,2002-06-22,24.1,232.0,46,One of the more underdiscussed Warriors storylines is that Santos has found his way into the rotation and had some good looks. Interesting hold going into next season.
187,Cameron Johnson,SF/PF,DEN,1996-03-03,30.4,157.0,-30,The wheels have started to fall off for Cam in Denver. We'll see if he can bounce back this year (preferably if Peyton Watson is gone).
188,Kyle Filipowski,PF/C,UTA,2003-11-07,22.7,173.0,-15,Kyle Filipowski finds himself in a good position to continue maintaining a solid role with Utah. This could be a key year for him.
189,Malik Monk,SG/SF,SAC,1998-02-04,28.4,158.0,-31,Monk had a down year after starting to get phased out of Sacramento. I have to believe someone legitimately wants to trade for him.
190,1.22 / Karim Lopez,SF/PF,MEM,2007-04-12,19.3,NEW,NEW,"Karim Lopez is going to be a work in progress, but if he hits, he's going to be a solid player that NBA teams will pay a lot of money for."
191,Nikola Topic,PG/SG,OKC,2005-08-10,20.9,144.0,-47,"With the addition of Bennett Stirtz, this largely kills the Topic hype. I'm guessing he needs a trade to make it happen at this point."
192,Noah Penda,SF/PF,ORL,2005-01-07,21.5,209.0,17,I love what I've seen from Penda so far and I'm high on him potentially earning a consistent role in 2026-2027.
193,Jimmy Butler,SF/PF,GSW,1989-09-14,36.8,189.0,-4,"Jimmy Butler suffered a devastating ACL tear this January. He's a psycho and will aim to return soon, but will he ever be the same player again at age 37?"
194,CJ McCollum,PG/SG,ATL,1991-09-19,34.8,175.0,-19,CJ's still kind of got it. He's in for probably one more year with Atlanta with a high-scoring role.
195,Paul Reed,PF/C,DET,1999-06-14,27.1,359.0,164,"I realize that this is a massive jump for BBall Paul, but the way he's played in these playoffs should guarantee him a multi-year offer and a more clearcut role."
196,Jamal Shead,PG/SG,TOR,2002-06-24,24.1,257.0,61,Shead has been a solid NBA player to date and really proven me wrong. He's going to be in the NBA for a long time.
197,Bennedict Mathurin,SG/SF,LAC -> FA,2002-06-19,24.1,162.0,-35,"Mathurin remains unsigned to date, and the Clippers-Aspiration investigation might hold them up longer."
198,Daniss Jenkins,PG/SG,DET,2001-08-17,24.9,191.0,-7,Jenkins looks to be a long-term staple for Detroit moving forward. He and Ebuka Okorie will be the main guards off the bench.
199,Draymond Green,PF/C,GSW,1990-03-04,36.4,207.0,8,We know who Green is at this point. He'll stick around in GSW until the wheels fall off. His fantasy game isn't what it used to be but he's still a great and valuable player.
200,Danny Wolf,PF/C,BKN,2004-05-05,22.2,203.0,3,"Wolf has a very appealing fantasy game, but he's not a good player at the NBA level yet and has a ways to go. Still definitely worth an investment in dynasty."
201,1.23 / Sergio De Larrea,PG/SG,DAL,2005-12-04,20.6,NEW,NEW,"Sergio has a ton to like as a 6'6 point guard with good craftiness, passing and shooting. Dusty May will really like and try to weaponize his size."
202,1.24 / Jayden Quaintance,C,SAS,2007-07-11,19.0,NEW,NEW,"There is zero question that JQ looks like an elite athlete and defender from Day 1 in the NBA, but the offensive development is the big swing."
203,1.25 / Tarris Reed Jr.,C,SAS,2003-08-05,22.9,NEW,NEW,"Tarris Reed and JQ make the backup big spot a little weird, but Reed is a different flavor with some muscle that should work great with Wemby."
204,Jrue Holiday,PG/SG,POR,1990-07-12,36.0,174.0,-30,"Jrue Holiday showed us that he's still got it this past year. With the Blazers' guard spots looking weird, what we can we expect for him?"
205,Sandro Mamukelashvili,PF/C,TOR -> LAL,1999-05-23,27.1,316.0,111,Mamu got a big time payday to head to the Lakers where he'll face a ton of pressure as the presumed starting power forward.
206,Josh Minott,SF/PF,BKN,2002-11-25,23.6,194.0,-12,Minott has looked solid when getting the looks in Boston and moves onto Brooklyn in a clearer role. We'll see if that sustains this coming season.
207,Kobe Sanders,SG/SF,LAC,2002-05-30,23.4,262.0,55,The Clippers should be jumping for joy with the scam contract they gave Kobe Sanders. Fully expecting him to outplay it and impact LAC in a big way.
208,Walter Clayton Jr.,PG/SG,MEM,2003-03-06,23.4,182.0,-26,Hope to see Clayton have a mini sophomore breakout in Memphis. He'll definitely shoot better this next season. He's been dealt a weird hand so far.
209,Grayson Allen,SG/SF,PHO -> CHA,1995-10-08,30.8,190.0,-19,Allen had his best year and popped off for Phoenix with their need for scorers. He'll play a bench role for Charlotte and hope to keep it up.
210,Nique Clifford,SG/SF,SAC,2002-02-09,24.4,187.0,-23,I've really liked what I've seen of Nique in his best moments this season in Sacramento. Hoping to see more this next year as he remains a key piece. 
211,Scotty Pippen Jr.,PG/SG,MEM,2000-11-10,25.7,196.0,-15,Pippen is one of the forgotten guards of this group who has flashed really strong play at times (especially in the playoffs). 
212,Aaron Wiggins,SG/SF,OKC -> ATL,1999-01-02,27.5,252.0,40,Aaron Wiggins is one of OKC's consolidation victims and heads to Atlanta to keep up in a solid role.
213,Nolan Traore,PG/SG,BKN,2006-05-28,20.1,224.0,11,Traore has had some flashes of being a potentially good player in Brooklyn. Will likely play a good bench role this next season behind Mikel and Egor.
214,Cam Spencer,PG/SG,MEM,2000-04-06,26.3,215.0,1,Cam Spencer is a testament to how stacked Memphis is with good-not-great guards. Who emerges of this group?
215,1.26 / Koa Peat,PF,PHO,2007-01-20,19.5,NEW,NEW,Peat is very much a mystery box player with loads of athleticism. He'll need help getting fit into a role. Could be a solid defender at the NBA level.
216,Terrance Shannon Jr.,SG/SF,MIN,2000-07-30,26.0,315.0,99,"TSJ has taken a step up when called upon in the playoffs and he should be looking at a better role this year, if Chris Finch stops being such a stickler."
217,Tre Jones,PG/SG,CHI,2000-01-08,26.5,275.0,58,"Despite his size, Tre Jones has showed he belongs in the NBA still and can sustain a decent backup role in Chicago."
218,Bobby Portis,PF/C,MIL -> MIA,1995-02-10,31.4,261.0,43,Portis has dropped off the map a little this year and it remains to be seen if he'll tick back up into a more normal role for him. He lands in a good spot in Miami.
219,De'Andre Hunter,SF/PF,SAC,1997-12-02,28.6,188.0,-31,"After a one-year wonder performance in Atlanta/Cleveland, Hunter was dumped to Sacramento where he'll expect to take up a decent-sized role."
220,Robert Williams III,C,POR,1997-10-17,28.7,293.0,73,"Timelord gets a nice 4-year deal to remain the backup center to Donovan Clingan. He was really good when healthy this year, as per usual."
221,Jaylen Wells,SG/SF,MEM,2003-08-26,22.9,212.0,-9,Wells is a better real-life player than fantasy as a 3&D wing. He'll keep playing good minutes for Memphis.
222,Rui Hachimura,SF/PF,LAL -> LAC,1998-02-08,28.4,222.0,0,Rui Hachimura didn't have to go far to his next team. He stays in town in LA and will have a similar enough role for the Clippers with less pressure than his Lakers gig.
223,Tobias Harris,SF/PF,DET -> SAS,1992-07-15,34.0,200.0,-23,Detroit is really going to feel the loss of Tobias Harris. I like the addition for the Spurs and expect him to continue playing a decent role.
224,Sam Hauser,SF/PF,BOS,1997-12-08,28.6,229.0,5,"Sam Hauser doesn't have much true upside, but he is a good 3&D player and can pop off for 9 3s now and again. He's an important cheap piece for Boston."
225,Jerami Grant,SF/PF,POR -> MEM,1994-03-12,32.3,197.0,-28,Grant was one of the pieces traded in the Ja Morant deal. He's making absurd money and will get some minutes.
226,Anfernee Simons,PG/SG,CHI -> PHI,1999-06-08,27.1,205.0,-21,Simons has fallen out of favor in the NBA and will settle for a bench role in a stacked Philly squad.
227,1.27 / Bruce Thornton,PG/SG,HOU,2003-09-14,22.8,NEW,NEW,I'm a big Bruce Thornton fan. I think this fit is fantastic and could really allow him to shine. Could be a major steal in a few years.
228,1.28 / Chris Cenac Jr.,PF/C,BOS,2007-02-01,19.4,NEW,NEW,"If you draft Cenac, proceed with caution in knowing he is a development project. He will need time to make it happen in Boston, but the ceiling could be very high."
229,1.29 / Zuby Ejiofor,PF/C,ATL,2004-04-20,22.2,NEW,NEW,Zuby will get some run with Atlanta. I have questions about the fit but they've needed more energy and size at the center position for some time now.
230,1.30 / Joshua Jefferson,SF/PF,BKN,2003-11-21,22.6,NEW,NEW,Jefferson will fit right in with this Brooklyn Nets identity built around passing at all positions. Good fantasy profile.
231,Justin Champagnie,SF/PF,WAS,2001-06-29,25.0,235.0,4,"These Champagnie twin are good, man.  Really impressed by Justin's hard work in securing a full-time NBA role. High-percentile rebounder for his position."
232,Ousmane Dieng,SF/PF,MIL,2003-05-21,23.1,255.0,23,"If/when Giannis is traded, Dieng could have a chance to be MIL's next big breakout star after Ryan Rollins for the rebuild. Keep an eye on him this summer."
233,De'Anthony Melton,PG/SG,GSW,1998-05-28,28.1,216.0,-17,Melton returns to Golden State on a team-friendly deal. He'll continue playing a rotation role with a good fantasy game.
234,Rob Dillingham,PG,CHI,2005-01-04,21.5,210.0,-24,"I normally try and give some grace to young guards, but I'm pretty concerned with how things went in MIN and the fantasy game being pretty poor in CHI."
235,Zaccharie Risacher,SF/PF,ATL,2005-04-08,21.3,178.0,-57,Risacher's value is crashing hard right now and it remains to be seen if/how he can get it back.
236,DeMar DeRozan,SG/SF/PF,SAC -> FA,1989-08-07,36.9,185.0,-51,"All signs point to DeMar heading back to Toronto, staying close to home in LA or going to Miami. "
237,Saddiq Bey,SF/PF,NOP,1999-04-09,27.3,211.0,-26,Saddiq Bey was scoring like crazy this year with 17.7 per game. This is pretty obviously not going to stay at this level.
238,Jordan Poole,PG/SG,NOP,1999-06-19,27.1,184.0,-54,"It'd be a surprise if Jordan Poole was done as an NBA player yet, but he was downright awful this year and got a lot of DNPs."
239,Jusuf Nurkic,C,UTA,1994-08-23,31.9,273.0,34,"Despite Walker Kessler going down, Nurkic has been playing with a little gas left in the tank. Not expecting much after this season."
240,Dylan Cardwell,C,SAC,2001-12-16,24.6,217.0,-23,Cardwell has flashed some really interesting play for Sacramento as an old-school rim protecting big. Great innings eater/backup to Sabonis and Raynaud.
241,Isaiah Collier,PG/SG,UTA,2004-10-08,21.8,180.0,-61,"The shooting is still far from ever being close to average, but the playmaking, pace and feel are pretty good for a young guard. How will he, George and Clayton mesh?"
242,Yanic Konan Niederhauser,PF/C,LAC,2003-03-14,22.6,267.0,25,LAC has not addressed the current big man situation at all through the draft or free agency as of yet. This is a great sign of their confidence in YKN.
243,Nikola Vucevic,C,BOS -> ORL,1990-10-24,35.7,198.0,-45,Vucevic's value has continued to fall since leaving Chicago. He heads back home to Orlando where he'll play a bench role.
244,Ryan Kalkbrenner,C,CHA,2002-01-17,24.5,166.0,-78,Kalkbrenner went from looking at a starting job to being the potential 4th best big on this Hornets squad. He needs a trade to make it happen.
245,Tristan Da Silva,SF/PF,ORL,2001-05-15,25.2,201.0,-44,"Not much more upside for the Magic to extract from Da Silva, but as a rotation player, I think he's good and should have a lengthy career in the NBA."
246,2.01 / Meleek Thomas,SG,CLE,2006-08-06,19.9,NEW,NEW,"With a 4-year guaranteed deal in hand, Thomas has a chance to be a core piece for Cleveland with some more fine-tuning."
247,Collin Sexton,PG/SG,CHI -> LAL,1999-01-04,27.5,225.0,-22,I couldn't think of a worse fit for Collin Sexton if I tried. He'll get some mileage with the Lakers but I'm not confident he looks all that good.
248,Donte DiVincenzo,PG/SG,MIN,1997-01-31,29.4,167.0,-81,Awful news as we find out Donte DiVincenzo tore his achilles during the playoffs. We won't see him at all next year.
249,Sam Merrill,SG,CLE,1996-05-15,30.2,234.0,-15,"Merrill is one of the very best shooters in the entire world. The upside isn't high but Sammy Buckets will get you, well, buckets."
250,Pelle Larsson,SG/SF,MIA,2001-02-23,25.4,291.0,41,Larsson will need to step up for Miami with a lot of missing depth. Spo trusts him and he can play different roles as a glue guy.
251,Kelly Oubre Jr.,SG/SF,PHI -> IND,1995-12-09,30.6,239.0,-12,We know what Oubre is and what his game looks like. He's a bucket but doesn't offer a ton of strong fantasy appeal besides that.
252,Oso Ighodaro,PF/C,PHO,2002-07-02,24.0,276.0,24,"Ighodaro was impactful this year for Phoenix. Curious how things shake out with Maluach improving, Miles Bridges coming in, and Rasheer Fleming and Koa Peat."
253,Alex Caruso,PG/SG,OKC,1994-02-28,32.4,248.0,-5,"Caruso in OKC is making for some terrifying defense. He's a winning player, but spending the remainder of his prime on a deep contender is not A+ for fantasy."
254,Keldon Johnson,SF/PF,SAS,1999-10-11,26.8,223.0,-31,"Just as he's walking away with his 6MOY award, Keldon suddenly feels like an odd man out with San Antonio's recent string of moves, plus Carter Bryant rising."
255,2.02 / Richie Saunders,SG/SF,MEM,2001-09-19,24.8,NEW,NEW,I don't care that Richie Saunders is almost 25 years old. Dude is a demon and has a real route to being a successful NBA player that outplays his draft position.
256,Kris Dunn,PG/SG,LAC,1994-03-18,32.3,236.0,-20,"Not much upside for Dunn at this point in his career, but I expect him to play a key role in LAC either starting next to Darius Garland or coming off the bench."
257,Kyle Kuzma,SF/PF,MIL,1995-07-24,31.0,228.0,-29,"Finally, pure mid. We know who Kyle Kuzma is and that he's a bad fantasy player. Don't much expect here in Milwaukee post-Giannis."
258,Taylor Hendricks,SF/PF,MEM,2003-11-22,22.6,231.0,-27,"Hendricks struggled to make it happen in Utah, but there are signs of life in Memphis. Keeping an eye here."
259,Miles McBride,PG/SG,NYK,2000-09-08,25.8,218.0,-41,Deuce McBride scored more points than I anticipated this past year despite only playing half the season. I don't expect 12 PPG to remain the norm.
260,Keon Ellis,SG/SF,CLE -> BKN,2000-01-08,26.5,177.0,-83,Ellis was very disappointing this past year in Sacramento and Cleveland. We'll see what kind of year he has for Brooklyn. 
261,Brice Sensabaugh,SG/SF,UTA,2003-10-30,22.7,213.0,-48,"Once again, we've seen some flashes from Brice Sensabaugh, but with Darryn Peterson and Ace Bailey in town, I think he needs a new team to make it happen."
262,Bradley Beal,SG,LAC -> MIA,1993-06-28,33.0,297.0,35,Beal could be an interesting bargain bin player to stash if you're a contender and think he can come back to some form next year.
263,2.03 / Alex Karaban,SF/PF,SAC,2002-11-11,23.7,NEW,NEW,Karaban has some connective pieces to his game that should give him some fantasy appeal. Good leader and jack-of-all-trades.
264,Jordan Miller,SF/PF,LAC,2000-01-23,26.5,313.0,49,Jordan Miller had a nice season with the Clippers. There's sure to be questions in their rotation and how he fits in. I'm not a strong believer but there is potential.
265,Javon Small,PG/SG,MEM,2002-12-19,23.6,282.0,17,Small's fantasy game has continued to pop when he plays for Memphis. Could be a real sleeper hit for deeper leagues here.
266,Yang Hansen,C,POR,2005-06-26,21.0,220.0,-46,"Yang was completely unplayable as a rookie. Never thought much of him, but given the profile and the capital spent on him, you have to hold or buy low."
267,Adou Thiero,SF/PF,LAL,2004-05-08,22.2,244.0,-23,"The offense remains a work in progress, but if you want to bet on the tools, athleticism, and two-way appeal, Thiero has a lot to love."
268,Dean Wade,SF/PF,CLE -> PHI,1996-11-20,29.6,369.0,101,Wade was a great undrafted gem for the Cavs and plays a steady bench role. Really good IRL player but essentially a cardio guy for fantasy purposes.
269,Baylor Scheierman,SG/SF,BOS,2000-10-26,25.7,270.0,1,"Scheierman took a step forward this year for Boston. With Jaylen Brown gone, expect him and Hugo Gonzalez to pick up some slack."
270,Ryan Nembhard,PG,DAL,2003-03-10,22.6,278.0,8,Ryan Nembhard finding a role as an UDFA was one of the bright spots of Dallas's season. Can he secure a solid long term contract this year?
271,Jay Huff,C,IND,1997-08-25,28.9,238.0,-33,"Huff was not efficient this year, but there's a lot to like as a 3-point shooting center who racks up blocks. Hoping he returns to form in a backup role behind Zubac."
272,Luguentz Dort,SG/SF,OKC,1999-04-19,27.2,243.0,-29,Lu Dort remains in OKC as one of their core defenders. Will he stay here much longer?
273,Quentin Post,PF/C,GSW -> MEM,2000-03-21,26.3,317.0,44,There's some real upside with Post here. Memphis made an interesting move to steal him away from Memphis as their third big.
274,Isaiah Joe,SG/SF,OKC -> DET,1999-07-02,27.0,227.0,-47,Isaiah Joe was one of OKC's victims for consolidation. He heads to Detroit to bolster their shooting.
275,Obi Toppin,PF,IND,1998-03-04,28.4,264.0,-11,We barely saw Obi Toppin this year (24 games played). We'll hope to see him keep things back to '24-'25 form when Haliburton returns.
276,Asa Newell,PF/C,ATL,2005-10-05,20.8,287.0,11,I'm closely watching Asa Newell after some fiery games when he gets real minutes. Holding and buying if I can.
277,Marcus Smart,PG/SG,LAL -> HOU,1994-03-06,23.6,NEW,NEW,"Somehow, I've forgotten to add Marcus Smart over into multiple updates. He's back now, and has been playing a good role for LA."
278,2.04 / Henri Veesaar,C,ATL,2004-03-28,22.3,NEW,NEW,Henri Veesaar forced his way into a long fall down draft boards to secure a guaranteed deal with the Hawks. He remains a priority 30s target.
279,Jalen Smith,PF/C,CHI,2000-03-16,26.3,281.0,2,We know what it is with Jalen Smith. He'll likely back up Nic Claxton at the 5 and should continue playing a decent role in Chicago.
280,Bogoljbub Markovic,PF,MIL,2005-07-12,20.2,398.0,118,"This is quite a jump for Markovic, but after a great year of improvement that won him the ABA MVP and a nice-sized 4 year contract, he's absolutely a priority pickup."
281,Jordan Walsh,SF/PF,BOS,2004-03-03,22.4,258.0,-23,"Walsh is still young and needs time, but upside is still there in his physical tools and the advanced numbers this season. Curious if he can carve out more in Year 3."
282,Ja'Kobe Walter,SG/SF,TOR,2004-09-04,21.9,340.0,58,I didn't respect Ja'Kobe Walter enough this past year. Curious how much further he's going into this next year.
283,Mohamed Diawara,SF/PF,NYK,2005-04-29,21.2,NEW,NEW,"Diawara has impressed me in his flashes this year. He's on a deep team and minutes may be tough to come by, but I like him as a long-term stash."
284,2.05 / Baba Miller,PF/C,LAC,2004-02-07,22.4,NEW,NEW,Baba Miller got a big ol' payday with the Clippers on a 4-year deal. This is super notable and could be a great sign of what's to come.
285,2.06 / Isaiah Evans,SG/SF,MIN,2005-12-06,20.6,NEW,NEW,"Isaiah Evans doesn't have a strong fantasy game, but the hope is the shooting is something to build on."
286,2.07 / Ryan Conwell,SG,MIA,2004-06-15,22.1,NEW,NEW,Conwell has a pro-ready game built to help the Heat's bench from the jump. Expect him to start climbing in your drafts.
287,TJ McConnell,PG/SG,IND,1992-03-25,34.3,259.0,-28,TJ McConnell continues trucking along as a key piece in Indiana as a backup guard. We know what to expect at this point.
288,Royce O'Neale,SG/SF,PHO -> CHA,1993-06-05,33.1,271.0,-17,"Royce heads to Charlotte after a career-high year in points. Expect him to play like his usual self we've seen at Utah, Brooklyn and Phoenix."
289,Cody Williams,SG/SF,UTA,2004-11-20,21.6,233.0,-56,"I still don't know what Cody Williams is supposed to be, but I think the growth we've seen is notable. I'm giving him a chance on a 3rd year breakout despite the drop."
290,Jase Richardson,SG,ORL,2005-10-16,20.7,206.0,-84,"The talent is still there for Jase Richardson, but the opportunities haven't been and his height and role are at odds. Hoping their next head coach sees the vision. "
291,Duncan Robinson,SG/SF,DET,1994-04-22,32.2,242.0,-49,"Duncan Robinson gets a little bit more competition for touches with Isaiah Joe, but he remains the best shooter of the team."
292,Moussa Cisse,C,DAL -> FA,2002-09-10,23.8,301.0,9,I'm keeping a close eye on Cisse moving forward. Really intriguing advanced numbers. Could be a great player hiding in plain sight.
293,Jamir Watkins,SG/SF,WAS,2001-07-06,25.0,289.0,-4,Watkins has shown he has some juice to be a good rotation player for Washington. He fits their defensive identity well. He might play more than you think this year.
294,DaRon Holmes II,PF/C,DEN,2002-08-15,23.9,241.0,-53,This year may be Holmes' last chance at securing a role with Denver. He'll face competition with Marvin Bagley III in the frontcourt.
295,Will Richard,SG/SF,GSW,2002-12-24,22.8,251.0,-44,"Richard has proven to be a notable role player for Golden State. The minutes are always going to be screwy, but maybe there's more of a chance this year."
296,Noah Clowney,PF/C,BKN,2004-07-14,22.0,221.0,-75,"Clowney has gross percentages, but he's certainly improved overall this year. I don't think he's ever going to be a good NBA player, frankly."
297,Vit Krejci,PG/SG/SF,POR,2000-06-19,26.1,277.0,-20,"Following the Ja trade, Krejci is very quietly a winner. The Blazers have lackluster wing/forward depth. Keep an eye here for deep leagues."
298,Jarace Walker,SF/PF,IND,2003-09-04,22.9,260.0,-38,"Entering the last year of his rookie contract, we still really don't know what Walker is going to be. Good tanking year numbers, but can he show anything this year?"
299,Rasheer Fleming,SF/PF,PHO,2004-07-10,22.0,265.0,-34,Fleming will remain in a reserve role following the Suns' trade for Miles Bridges. Still hopeful he can pan out as him and Koa Peat fight for PF minutes.
300,GG Jackson,SF/PF,MEM,2004-12-17,21.6,237.0,-63,Some people are going to be annoyed about this placement. I just don't know what to say about GG. Can score but not much else. Only gets run when MEM is bad.
301,Jake LaRavia,SF/PF,LAL,2001-11-03,24.7,253.0,-48,LaRavia has impressed on occasion in LA. He's settled into a career as a role player moving forward.
302,Jaylin Williams,PF/C,OKC,2002-06-29,24.0,298.0,-4,"JWill probably deserves to be higher than this because he's legitimately solid as a rotation piece, but it's hard to trust he has a role of much size at all."
303,2.08 / Emanuel Sharp,SG,SAC,2004-03-07,22.4,NEW,NEW,There's plenty to like about Emanuel Sharp as an off-ball 3&D player and a culture setter. Very hard worker and got a guaranteed contract.
304,AJ Green,SG,MIL,1999-09-27,26.8,240.0,-64,AJ Green is one of the bigger losers of the Giannis trade with a ton of guards in the rotation now. He probably needs a trade to return to relevancy.
305,Nikola Jovic,SF/PF,MIA,2003-06-09,23.1,245.0,-60,"Jovic has been downright awful this year. No clue what happened, but good chance he gets salary dumped or used in filler for a trade soon."
306,Marvin Bagley III,PF/C,DAL -> DEN,1999-03-14,27.3,339.0,33,Bagley's been playing some decent ball recently in Washington and Dallas. He'll be tasked with backing up Nikola Jokic this year.
307,Leonard Miller,SF/PF,CHI,2003-11-26,22.6,268.0,-39,"I'm very skeptical of all this, but Leonard Miller has been showing some real signs of life in Chicago. Will be keeping an eye on this in the offseason."
308,Dominick Barlow,PF/C,PHI,2003-05-26,23.1,306.0,-2,"Barlow has played a surprising amount for Philly, starting more games than you'd think. Not a ton of fantasy upside here, at least from recent returns."
309,Liam McNeeley,SG/SF,CHA,2005-10-15,20.7,284.0,-25,"McNeeley hasn't popped much yet, but he's shown a little in Charlotte that suggest more could come when he gets a consistent role."
310,Luke Kennard,SG/SF,ATL -> PHO,1996-06-24,30.1,310.0,0,Kennard is playing a 3-point specialist role for the Lakers. I expect him to pick up some slack until Luka and Reaves are back.
311,Moses Moody,SG/SF,GSW,2002-05-31,24.1,254.0,-57,Moody was really coming up strong before a brutal patellar tendon tear. He has a lenthy road to recovery.
312,Max Strus,SG/SF,CLE,1996-03-28,30.3,288.0,-24,Strus barely played in 2025-2026 (12 GP). Expect him to remain in a decent role and keep hitting 3s.
313,Steven Adams,C,HOU,1993-07-20,33.0,356.0,43,Adams was badly missed this season and in the playoffs during Sengun's lowlights. He'll maintain a key role when healthy for '26-'27.
314,Ryan Dunn,SG/SF,PHO,2003-01-07,23.5,250.0,-64,"Ryan Dunn hasn't progressed much besides some 3PT strides, but he remains a bad offensive player and hasn't shown much in the stocks department."
315,2.09 / Ugonna Onyenso,C,DET,2004-09-25,21.8,NEW,NEW,"With a lot of questions about centers in Detroit, there is a real chance Ugonna Oyenso takes up a solid role as a backup."
316,Jock Landale,C,ATL,1995-10-25,30.7,334.0,18,Landale has played some decent ball for Atlanta and will likely stick around as a backup/3rd stringer.
317,Goga Bitadze,C,ORL,1999-07-20,27.0,247.0,-70,"Goga continues to flash on occasion, but I don't think he'll ever fully put it all together unless some desparate team swipes him up this summer."
