,,,,,,,,,
,#,Player,Position,Team,DOB,Age (4/5/26),Previous Rank, +/- Change,Notes/Outlook
,163,Maxime Raynaud,PF/C,SAC,4/7/2003,23.0,167,3,Raynaud has been excelling so far with Domantas Sabonis out. He checks all the right boxes. Never should've gone 42nd overall IRL.
,164,Joan Beringer,C,MIN,11/11/2006,19.4,161,-4,Beringer is loaded with upside at the center positon. He will be the heir apparent to the starting job (if Finch can work through his trust issues in therapy).
,165,Wendell Carter Jr.,PF/C,ORL,4/16/1999,27.0,217,51,"WCJ has had a better year this year and should probably be higher on my ranks, but I still do not have a ton of belief in him at this point."
,166,Ryan Kalkbrenner,C,CHA,1/17/2002,24.2,124,-43,"Kalkbrenner has looked solid in many parts this year, but right now, Moussa Diabate is the better player/starter."
,167,Donte DiVincenzo,PG/SG,MIN,1/31/1997,29.2,158,-18,Donte continues to be a staple in Minnesota with their lack of a true point guard. He's a key shotmaker.
,168,Max Christie,SG/SF,DAL,2/10/2003,23.2,174,5,"Christie faded off by the end of the season, and it's fair to question if he can come into next year at a starting level."
,169,Fred VanVleet,PG/SG,HOU,2/25/1994,32.1,155,-15,VanVleet suffered a horribly timed ACL tear. It's fair to question how he recovers from this injury at age 32 as a smaller guard. Him being out is definitely felt so far in HOU.
,170,Paul George,SG/SF/PF,PHI,5/2/1990,36.0,143,-28,"Paul George was already reaching towards the end, but now that he's out for the rest of the fantasy season with a drug suspension, he might be about done."
,171,Herbert Jones,SF/PF,NOP,10/6/1998,27.5,157,-15,Herb is shouldering a ton this year with how poor New Orleans' defense is. Numbers haven't been amazing but should tick up soon.
,172,Carter Bryant,SF/PF,SAS,11/26/2005,20.4,176,3,Carter Bryant is a bit of a mystery box in terms of upside. The fantasy game is meh so far but the upside and phyiscal tools are very intriguing.
,173,Kyle Filipowski,PF/C,UTA,11/7/2003,22.4,152,-18,"Filipowski's minutes have been hit or miss, but he's showing he can produce when he gets a large amount. Definite hold/buy still."
,174,Jrue Holiday,PG/SG,POR,7/12/1990,35.8,170,-5,Jrue has been crushing it in Portland in a bigger role for the first time in years. He's providing steady value for contenders.
,175,CJ McCollum,PG/SG,WAS,9/19/1991,34.6,193,17,CJ is playing as usual with high scoring outings without a ton else. He's coming up on the end.
,176,Andrew Wiggins,SF/PF,MIA,2/23/1995,31.1,179,2,Wiggins joined the Miami Heat following the Butler trade. He's had a solid fantasy season and should maintain a steady role in Miami as they look to build back up.
,177,Keon Ellis,SG/SF,CLE,1/8/2000,26.3,168,-10,"Ellis finally finds a new home, leaving the worst team in the West to a struggling, yet still-alive, Cavs team. He'll play an important role again."
,178,Zaccharie Risacher,SF/PF,ATL,4/8/2005,21.0,156,-23,Risacher's value is crashing hard right now and it remains to be seen if/how he can get it back.
,179,Naji Marshall,SF/PF,DAL,1/24/1998,28.2,228,48,I've been a longtime Marshall truther and he's been surging recently with the slew of Mavs injuries. I expect him to have a few more prime years like this.
,180,Isaiah Collier,PG/SG,UTA,10/8/2004,21.5,146,-35,"The shooting is still far from ever being close to average, but the playmaking, pace and feel are pretty good for a young guard. How will he, George and Clayton mesh?"
,181,Ayo Dosumnu,PG/SG,MIN,1/17/2000,26.2,206,24,Grown folks online tried saying Ayo is a bottom 10 role player in the NBA. He's been a top 80 per-game guy since coming to Minnesota. Hmmmm...
,182,Walter Clayton Jr.,PG/SG,UTA,3/6/2003,23.1,165,-18,"Clayton has not been heavily involved in the rotation yet, but I'm willing to be patient. I see some high outcomes still."
,183,Noa Essengue,SF/PF,CHI,12/18/2006,19.3,173,-9,"Essengue is far from a complete product and has a lot to work on, so it stinks to see him miss the remainder of the year and lose valuable development time."
,184,Jordan Poole,PG/SG,NOP,6/19/1999,26.8,97,-84,"Poole has been downright bad this year. Outside the top 250 in per-game value, DNPs. It'd be a surprise if he's done as an NBA player but he's not far off."
,185,DeMar DeRozan,SG/SF/PF,SAC,8/7/1989,36.7,199,14,DeRozan gets to reunite with LaVine and will likely finish his career in the next couple years. Still a worthy contender buy for the low if he fits your team.
,186,Dillon Brooks,SF/PF,HOU,1/22/1996,30.2,184,-2,How about Dillon Brooks this year? He's having the best scoring stretch of his career and continues to push.
,187,Nique Clifford,SG/SF,SAC,2/9/2002,24.2,164,-23,Clifford is an absolute fantasy monster lying in wait as Sacramento flounders around. He'll get his shot soon after impressing a lot this year. 
,188,De'Andre Hunter,SF/PF,SAC,12/2/1997,28.4,177,-11,"Hunter heads to Sacramento, where his path to good minutes this and next year feels clear. Still, he has become a negative value again very quickly."
,189,Jimmy Butler,SF/PF,GSW,9/14/1989,36.6,123,-66,"Jimmy Butler suffered a devastating ACL tear this January. He's a psycho and will aim to return, but will he ever be the same player again at age 37?"
,190,Grayson Allen,SG/SF,PHO,10/8/1995,30.5,237,47,"Allen is having his best year and popping off for Phoenix with their need for scorers. What him and Brooks is doing is pretty fake without Jalen Green, but still notable."
,191,Daniss Jenkins,PG/SG,DET,8/17/2001,24.7,277,86,Jenkins earned a hefty payday and is a long-term staple for Detroit moving forward. He truly is the answer for the long-term backup PG role.
,192,Kasparas Jakucionis,PG/SG,MIA,5/29/2006,19.9,171,-21,"Jakucionis had some nice games these past few months. He's not going to be a consistent player in MIA yet until he earn's Spoelstra trust, but the upside is obvious."
,193,Hugo Gonzalez,SG/SF,BOS,2/5/2006,20.2,188,-5,Hugo has had some massive games mixed with quiet boxscore nights but is well on his way. He's already a net-positive player for a good team. 
,194,Josh Minott,SF/PF,BKN,11/25/2002,23.4,180,-14,Minott has looked solid when getting the looks in Boston and moves onto Brooklyn in a clearer role.
,195,Davion Mitchell,PG/SG,MIA,9/5/1998,27.6,187,-8,Mitchell continues to be very good in Miami. I've had my doubts but he's really revived his career.
,196,Scotty Pippen Jr.,PG/SG,MEM,11/10/2000,25.4,178,-18,Scotty Pippen Jr. is still recovering from toe surgery and yet to make his debut. I think he's very quietly one of MEM's best players.
,197,Jerami Grant,SF/PF,POR,3/12/1994,32.1,192,-5,Grant is back to his high-scoring output for Portland. I expect he'll garner some trade interest from needy fringe contenders.
,198,Nikola Vucevic,C,BOS,10/24/1990,35.5,169,-29,"Vuc moves to Boston, where he played well splitting time before getting hurt. Will he re-sign and stick in this role?"
,199,Damian Lillard,PG/SG,POR,7/15/1990,35.8,172,-27,"With a 3-year deal and him sitting this year out recovering from his Achilles tear, he has a small window of decent play left if he manages to make a full recovery."
,200,Tobias Harris,SF/PF,DET,7/15/1992,33.8,212,12,Harris is still playing a steady role in Detroit with a lot less reliance on his scoring. He's coming towards the end.
,201,Tristan Da Silva,SF/PF,ORL,5/15/2001,24.9,215,14,"Not much more upside for the Magic to extract from Da Silva, but as a rotation player, I think he's good and should have a 10+ year career in the NBA."
,202,Isaiah Stewart,PF/C,DET,5/22/2001,24.9,186,-16,Stewart is having the best stretch of his career from a fantasy perspective. Still surprisingly very young and an elite defender.
,203,Danny Wolf,PF/C,BKN,5/5/2004,22.0,189,-14,"Wolf has a very appealing fantasy game, but he's not a good player at the NBA level yet and has a ways to go. Still definitely worth an investment in dynasty."
,204,Day'Ron Sharpe,PF/C,BKN,11/6/2001,24.4,218,14,Sharpe has been an interesting backup big for a few years now. Not sure why he signed for so cheap to stay in Brooklyn.
,205,Anfernee Simons,PG/SG,CHI,6/8/1999,26.9,142,-63,Simons fell out of favor for Boston and was traded to Chicago where he's hardly played. He has a very questionable future ahead.
,206,Jase Richardson,PG/SG,ORL,10/16/2005,20.5,166,-40,Jase has had some excellent games so far this year. The talent is definitely there even though I still want to see how he keeps it up.
,207,Draymond Green,PF/C,GSW,3/4/1990,36.1,203,-4,We know who Green is at this point. He'll stick around in GSW until the wheels fall off. His fantasy game isn't what it used to be but he's still a great and valuable player.
,208,Collin Gillespie,PG,PHO,6/25/1999,26.8,226,18,Gillespie has been excellent this year for Phoenix. I expect him to get a nice payday to stay with the Suns this summer.
,209,Noah Penda,SF/PF,ORL,1/7/2005,21.3,210,1,I love what I've seen from Penda so far and I'm very high on him potentially earning a consistent role next year.
,210,Rob Dillingham,PG/SG,CHI,1/4/2005,21.3,175,-35,"I normally try and give some grace to young guards, but I'm pretty concerned with how things went in MIN and the fantasy game being pretty poor in CHI."
,211,Saddiq Bey,SF/PF,NOP,4/9/1999,27.0,242,31,It's been great to see Saddiq Bey finally healthy and balling out again. I don't expect this to stick long-term but he is sure to draw some interest this summer.
,212,Jaylen Wells,SG/SF,MEM,8/26/2003,22.6,181,-31,"Wells has gotten himself out of the bad early slump, but the fantasy game is still not all that strong."
,213,Brice Sensabaugh,SG/SF,UTA,10/30/2003,22.5,261,48,Sensabaugh has taken quite the scoring leap recently. Not sure what his future holds as a score-first player.
,214,Mitchell Robinson,C,NYK,4/1/1998,28.0,207,-7,"Robinson has continually had struggles with staying healthy. If he can't this year, we will likely see him traded."
,215,Cam Spencer,PG/SG,MEM,4/6/2000,26.0,208,-7,Cam Spencer has ascended up the board with some stellar play over the last month. Is it real with all their injuries? 
,216,De'Anthony Melton,PG/SG,GSW,5/28/1998,27.9,282,66,"Melton has been very good fantasy-wise, as he always has flashed with opportunity. He could be an interesting player to monitor this summer."
,217,Dylan Cardwell,C,SAC,12/16/2001,24.3,403,186,Cardwell has flashed some interesting stuff for Sacramento at times. He's an old school big with good defensive abilities.
,218,Miles McBride,PG/SG,NYK,9/8/2000,25.6,227,9,McBride is a dawg and is suited to play big minutes on a funky Knicks bench. Not a ton of strong upside besides what he gets in big minutes.
,219,Luke Kornet,C,SAS,7/15/1995,30.8,202,-17,Kornet has been a good backup big for San Antonio. He started out hot and cooled over the last few months.
,220,Yang Hansen,C,POR,6/26/2005,20.8,183,-37,"Yang has been unplayable as a rookie. I never thought much of him, but given the capital people spent on him, he retains some value."
,221,Noah Clowney,PF/C,BKN,7/14/2004,21.8,190,-31,"Clowney has gross percentages, but he's certainly improved overall this year. I can't imagine he's locked into a role moving forward."
,222,Rui Hachimura,SF/PF,LAL,2/8/1998,28.2,219,-3,This year is now Rui's second in a row where he's shooting over 50% from the field and 40% from 3 on at least 1 per game.
,223,Keldon Johnson,SF/PF,SAS,10/11/1999,26.5,229,6,"Keldon Johnson isn't a great fantasy player, but he has posted excellent value this year and feels much more defined in a 6th man role."
,224,Nolan Traore,PG/SG,BKN,5/28/2006,19.9,241,17,"Traore has had some flashes of being a potentially good player, but the fantasy game is not going to be good for a bit."
,225,Collin Sexton,PG/SG,CHI,1/4/1999,27.3,201,-24,"As expected, Sexton is mostly a 6th man with some occasional spot starts. He's been playing decently for Chicago but his best days are behind him."
,226,Brandon Williams,PG/SG,DAL,11/12/1999,26.4,234,8,Brandon Williams is on track to go from Silly Season star to legitimate role player for Dallas until Kyrie is healthy. Him and Ryan Nembhard will compete for minutes. 
,227,Isaiah Joe,SG/SF,OKC,7/2/1999,26.8,250,23,Isaiah Joe is a pure shooter that's thrived in Oklahoma City. He's put up nice numbers at 105th in per-game value post-ASB.
,228,Kyle Kuzma,SF/PF,MIL,7/24/1995,30.7,196,-32,Gotta hand it to Kuzma: He went from an awful and inconsistent fantasy player last year to a consistent sub-200 per-game player this year. He works in mysterious ways.
,229,Sam Hauser,SF/PF,BOS,12/8/1997,28.4,239,10,"Sam Hauser doesn't have much true upside, but he is a good 3&D player and can pop off for 9 3s now and again. He will cook for Boston this year for sure."
,230,Julian Champagnie,SF/PF,SAS,6/29/2001,24.8,263,33,"We've seen Champagnie have some solid moments, but the previous overreliance on starting him is a sign he's probably best as a rotation player."
,231,Taylor Hendricks,SF/PF,MEM,11/22/2003,22.4,211,20,"Hendricks has struggled to earn minutes consistently in Utah, but there are signs of life in Memphis. Keeping an eye here."
,232,Gui Santos,SF/PF,GSW,6/22/2002,23.8,448,216,One of the more underdiscussed Warriors storylines is that Santos has found his way into the rotation and had some good looks. Interesting hold going into next season.
,233,Cody Williams,SG/SF,UTA,11/20/2004,21.4,313,80,"Some of you are going to groan over this, but I think CoDub has made some real progress recently. Next year is a very pivotal year for him."
,234,Sam Merrill,PG/SG,CLE,5/15/1996,29.9,251,17,Merrill is such a pure shooter and his shot is one of the cleanest I've ever seen. He will be one of a few guys working to replace Ty Jerome off the bench.
,235,Justin Champagnie,SF/PF,WAS,6/29/2001,24.8,306,71,Julian's twin has been excellent with the Wizards. Really impressed by his hard work in securing a full-time NBA role. High-percentile rebounder for his position.
,236,Kris Dunn,PG/SG,LAC,3/18/1994,32.1,249,13,Kris Dunn is a solid rotation defender for LAC. Not much upside here but he's a good player and will stick around a little longer.
,237,GG Jackson,SF/PF,MEM,12/17/2004,21.3,305,69,"GG Jackson remains full of question marks. He can score at a high level and is super young, but will he ever piece it all together."
,238,Jay Huff,C,IND,8/25/1997,28.6,222,-16,"We know Huff is on borrowed time with Indiana as their starting guy, but can the per-minute play continue even with Zubac as the starter? Possibly."
,239,Kelly Oubre Jr.,SG/SF,PHI,12/9/1995,30.4,244,5,We know what Oubre is and what his game looks like. He's a bucket but doesn't offer a ton of strong fantasy appeal besides that.
,240,AJ Green,SG,MIL,9/27/1999,26.6,232,-8,"AJ Green's role has expanded over the years, and hopefully, you aren't surprised that he's still shooting over 40% from 3 on higher volume. He's like that."
,241,DaRon Holmes II,PF/C,DEN,8/15/2002,23.7,216,-25,"Holmes has yet to play much in the NBA. With Jonas as their backup, this gives Holmes more time to get fresh and get ready for a bigger role next year."
,242,Duncan Robinson,SG/SF,DET,4/22/1994,32.0,268,26,Standard 3PT specialist stuff. We know what it is with Duncan Robinson. He's played well so far this year.
,243,Luguentz Dort,SG/SF,OKC,4/19/1999,27.0,220,-23,"Dort is a crucial piece to OKC as a defender and shooter. There's no big upside from here, but he's still pretty young and will remain a staple on this team."
,244,Adou Thiero,SF/PF,LAL,5/8/2004,21.9,262,18,"The offense remains a work in progress, but if you want to bet on the tools, athleticism, and two-way appeal, Thiero has a lot to love."
,245,Nikola Jovic,SF/PF,MIA,6/9/2003,22.9,162,-83,"Jovic has been downright awful this year. No clue what happened, but good chance he gets salary dumped or used in filler for a trade soon."
,246,Devin Carter,PG/SG,SAC,3/18/2002,24.1,230,-16,Carter has struggled to get it going in NBA minutes since making his debut earlier in 2025. He'll need a little refining but the fantasy upside is still there.
,247,Goga Bitadze,C,ORL,7/20/1999,26.7,200,-47,"Goga continues to flash on occasion, but I don't think he'll ever fully put it all together unless some desparate team swipes him up this summer."
,248,Alex Caruso,PG/SG,OKC,2/28/1994,32.1,213,-35,"Caruso in OKC is making for some terrifying defense. He's a winning player, but spending the remainder of his prime on a deep contender is not A+ for fantasy."
,249,Dennis Schroder,PG/SG,CLE,9/15/1993,32.6,214,-35,"Schroder has been traded once again; this time, he heads to Cleveland to play a bench role behind Donovan Mitchell and Darius Garland."
,250,Ryan Dunn,SG/SF/PF,PHO,1/7/2003,23.3,195,-55,Dunn has had good moments in Phoenix. He'll be a key piece for them over time with their dire cap situation. Very solid defender despite disappointing numbers this year.
,251,Will Richard,SG/SF,GSW,12/24/2002,22.8,221,-30,"Steve Kerr is Steve Kerr, so we know the minutes will wax and wane, but I still really like Richard long-term."
,252,Aaron Wiggins,SG/SF,OKC,1/2/1999,27.3,198,-54,Wiggins continues to play spot roles and when called upon in OKC. Very good player and valuable for his team but the role is just inconsistent.
,253,Jake LaRavia,SF/PF,LAL,11/3/2001,24.5,194,-59,LaRavia has impressed on occasion in LA. He's settled into a career as a role player moving forward.
,254,Moses Moody,SG/SF,GSW,5/31/2002,23.9,205,-49,Moody was really coming up strong before a brutal patellar tendon tear. He has a lenthy road to recovery.
,255,Ousmane Dieng,SF/PF,MIL,5/21/2003,22.9,385,130,"Dieng has a chance to be a potential building block for Milwaukee. Not that that's saying much, but still. Really good, albeit inconsistent, post-deadline play."
,256,Jeremy Sochan,SF/PF,NYK,5/20/2003,22.9,185,-71,"Sochan was waived by San Antonio and picked up by New York. He'll have to hope someone takes a cheap flier on him this summer, but it's not looking good."
,257,Jamal Shead,PG/SG,TOR,6/24/2002,23.8,290,33,Shead is still playing a small rotation well for Toronto and it's telling that he's still been given work even with how loaded they are. Good assists guy this deep.
,258,Jordan Walsh,SF/PF,BOS,3/3/2004,22.1,247,-11,"Walsh is still young and needs some time, but the upside is still there in his physical tools. Curious if he can carve out anything more in Year 3."
,259,TJ McConnell,PG/SG,IND,3/25/1992,34.1,240,-19,"McConnell is one of the better, more consistently underrated bench players in the NBA. He fits the Pacers perfectly."
,260,Jarace Walker,SF/PF,IND,9/4/2003,22.6,253,-7,"Walker has started to figure it out recently, but considering how terrible/injured Indiana has been, it's hard to trust much here."
,261,Bobby Portis,PF/C,MIL,2/10/1995,31.2,246,-15,Portis has dropped off the map a little this year and it remains to be seen if he'll tick back up into a more normal role for him.
,262,Kobe Sanders,SG/SF,LAC,5/30/2002,23.4,347,85,Sanders has been playing real minutes for the Clippers so far and has flashed some fantasy appeal.
,263,Russell Westbrook,PG/SG,SAC,11/12/1988,37.4,223,-40,"Russ went from almost being done as an NBA player to being the starter in Sacramento. It is Sacramento, but he does look revitalized on a bad team like this."
,264,Obi Toppin,SF/PF/C,IND,3/4/1998,28.1,224,-40,"I like Toppin as a rotation player. I don't think he's ever a full-time starter on a good team, but he does a lot of winning stuff for the Pacers in less minutes."
,265,Rasheer Fleming,SF/PF,PHO,7/10/2004,21.8,245,-20,"We haven't seen a lot of Fleming just yet, but I anticipate he will get more opportunities over the next few months."
,266,Drake Powell,SG/SF,BKN,9/8/2005,20.6,236,-30,There's a lot to like about Drake Powell with his athleticism and tools from North Carolina. There's a small chance he's Brooklyn's best player from this class.
,267,Yanic Konan Niederhauser,PF/C,LAC,3/14/2003,22.6,366,99,"Before going out for the year, YKN was starting to show some flash. We'll see what the role looks like next year. I don't think he's an NBA starter."
,268,Leonard Miller,SF/PF/C,MIN,11/26/2003,22.4,370,102,"I'm very skeptical of all this, but Leonard Miller has been showing some real signs of life in Chicago. Will be keeping an eye on this in the offseason."
,269,Jose Alvarado,PG,NOP,4/12/1998,28.0,266,-3,"Alvarado has good fantasy value for his minutes, but there's just not much upside for him unless there are injuries. There's a chance a trade lets him see more opportunity."
,270,Baylor Scheierman,SG/SF,BOS,10/26/2000,25.5,304,34,Scheierman's role remains very low with little to do. I expected way better out of him this year.
,271,Royce O'Neale,SG/SF,PHO,6/5/1993,32.9,284,13,Still crazy to think Royce O'Neale cost the Suns a first round pick with their current state of things. Good role player in general.
,272,Yves Missi,C,NOP,5/14/2004,21.9,255,-17,Missi has started to get pushed out of NOLA's rotation after an intriguing rookie year. There is some hope if he's traded.
,273,Jusuf Nurkic,C,UTA,8/23/1994,31.7,289,16,"Despite Walker Kessler going down, Nurkic has been playing with a little gas left in the tank. Not expecting much after this season."
,274,Carlton Carrington,PG/SG,WAS,7/21/2005,20.7,209,-65,Bub is still playing poorly to close out the season and is teetering on top 300 per-game value. It might be curtains for him soon.
,275,Tre Jones,PG/SG,CHI,1/8/2000,26.3,235,-40,Jones chose to stay in Chicago with a new deal and has been killing it so far at different points of the season. There's just too many guards in Chicago now.
,276,Oso Ighodaro,PF/C,PHO,7/2/2002,23.8,374,98,"Ighodaro may play some spot minutes here and there, with Phoenix added two centers this offseason. I don't see Oso making a big case moving forward."
,277,Vit Krejci,PG/SG/SF,POR,6/19/2000,25.8,265,-12,Krejci has been one of the more underrated role players in the NBA this year. I think the trade to Portland helps his fantasy value long term.
,278,Ryan Nembhard,PG,DAL,3/10/2003,22.6,231,-47,"Nembhard was trending up, but there hasn't been much going on for him over the last few months. "
,279,Kevin Huerter,SG/SF,CHI,8/27/1998,27.6,248,-31,Huerter returns to a rotation role in Detroit after some decent looks in Chicago. He is who he is.
,280,Bruce Brown,PG/SG/SF,DEN,8/15/1996,29.7,254,-26,"Brown has not been as good as I'd hoped returning to Denver, but he's at least playing a role again and might earn more burn as the year goes on."
,281,Jalen Smith,PF/C,CHI,3/16/2000,26.1,259,-22,"Smith is just a backup big at this point and does not carry much value, but if Vucevic is traded, he could be a Silly Season hero."
,282,Javon Small,PG/SG,MEM,12/19/2002,23.3,317,35,Small's fantasy game has continued to pop when he plays for Memphis. Could be a real sleeper hit for deeper leagues here.
,283,Derrick Jones Jr.,SF/PF,LAC,2/15/1997,29.2,285,2,DJJ has quietly been having the best year of his career before he went down with an injury in November. Expecting more of that once he's back.
,284,Liam McNeeley,SG/SF,CHA,10/15/2005,20.5,233,-51,"McNeeley hasn't popped much yet, but he's shown a little in Charlotte that suggest more could come when he gets a consistent role."
,285,Bones Hyland,PG/SG,MIN,9/14/2000,25.6,326,41,"Bones has been playing legit minutes with Minnesota this year. Still not sure he's all that good, but he is reviving his career in a big way."
,286,Tidjane Salaun,PF,CHA,8/10/2005,20.7,267,-21,Salaun started showing some life a few months ago but has largely been outside the rotation since Charlotte got hot.
,287,Asa Newell,PF/C,ATL,10/5/2005,20.5,238,-49,I'm closely watching Asa Newell after some fiery games when he gets real minutes. Holding tight and buying if I can.
,288,Max Strus,SG/SF,CLE,3/28/1996,30.1,299,11,Strus has been coming back from his foot injury that kept him out for a long time. We'll see if he's traded this offseason.
,289,Jamir Watkins,SG/SF,WAS,7/6/2001,24.8,350,61,Watkins has shown he has some juice to be a good rotation player for Washington. He fits their defensive identity well.
,290,Isaiah Jackson,PF/C,LAC,1/10/2002,24.3,271,-21,"IJax has been playable this year recovering from his Achilles tear, but the fantasy game has not been impressive save for a few games."
,291,Pelle Larsson,PG/SG,MIA,2/23/2001,25.1,303,12,Larsson is kind of a jack of all trades/master of none rotation piece. Don't see a lot of upside for him but feels like he could stick around and earn a role in MIA.
,292,Ben Saraf,PG/SG,BKN,4/14/2006,20.0,280,-12,"I'm not overwhelmingly confident that Ben Saraf will evolve into a good shooter long-term, but there is a lot to like as a big guard."
,293,Robert Williams III,C/PF,POR,10/17/1997,28.5,283,-10,"We know the deal with Timelord at this point: When he plays, he can be a good fantasy guy, but he rarely plays at this point in his career."
,294,Harrison Barnes,SF/PF,SAS,5/30/1992,33.9,312,18,Barnes still has some juice even in San Antonio. We know what he is as a boring forward who can pop on occasion.
,295,Kam Jones,PG/SG,IND,2/25/2002,24.1,278,-17,The fit couldn't be better in Indiana and Kam is absolutely going to get opportunities to play. He's been out for the start of the season.
,296,Justin Edwards,SG/SF,PHI,12/16/2003,22.3,295,-1,"Despite having a good rookie season, Edwards has largely been on the outside looking in this year."
,297,Bradley Beal,SG,LAC,6/28/1993,32.8,269,-28,Beal could be an interesting bargain bin player to stash if you're a contender and think he can come back to some form next year.
,298,Jaylin Williams,PF/C,OKC,6/29/2002,23.8,311,13,"JWill probably deserves to be higher than this because he's legitimately solid as a rotation piece, but it's hard to trust he has a role of much size at all."
,299,Jaden Ivey,PG/SG,FA,2/13/2002,24.2,154,-145,This may be too generous. Everything that could go wrong for Ivey's career has gone wrong. He may still have a path back into the NBA if he gets help.
,300,Mouhamed Gueye,PF/C,ATL,11/9/2002,23.4,260,-40,"There's something there with Gueye, and you see it all over the tape. I think he's got some intriguing upside that is worth buying on now."
,301,Moussa Cisse,C,DAL,9/10/2002,23.6,332,31,I'm keeping a close eye on Cisse moving forward. Really intriguing advanced numbers. Could be a great player hiding in plain sight.
,302,Tristan Vukcevic,PF/C,WAS,3/11/2003,23.1,325,23,"As usual, Vukcevic continues to tease good fantasy play here and there. He deserves a way more consistent role."
,303,Amari Williams,C,BOS,1/28/2002,24.2,352,49,Amari Williams has been playing real well in the G League so far. He's currently averaging 5 assists in 29 minutes.
,304,Craig Porter Jr.,PG/SG,CLE,2/26/2000,26.1,307,3,CPJ is actually one of the more interesting role players out there that could be a hit if Cleveland's bench wasn't so deep. Worth a watch to see what happens.
,305,Guerschon Yabusele,SF/PF/C,CHI,12/17/1995,30.3,293,-12,"Yabusele has been playing a real role in Chicago, but it remains to be seen if he'll stay in the NBA after this season."
,306,Dominick Barlow,PF/C,PHI,5/26/2003,22.9,378,72,"Barlow has played a surprising amount for Philly, starting more games than you'd think. Not a ton of fantasy upside here, at least from recent returns."
,307,Al Horford,PF/C,GSW,6/3/1986,39.9,308,1,Horford is somehow still kicking and delivering on top 200 per game value. He'll turn 40 if/when the Warriors make the playoffs.
,308,Vince Williams Jr.,SG/SF/PF,FA,8/30/2000,25.6,279,-29,"Vince has had a tough run recently with the trade to Utah, tearing his ACL and getting waived. I'm still hopeful for him breaking back in."
,309,Cam Thomas,SG,FA,10/13/2001,24.5,147,-162,"Thomas found his way out of the NBA pretty quickly after being waived by Brooklyn. Get ready to learn Chinese, buddy. "
,310,Luke Kennard,SG/SF,LAL,6/24/1996,29.8,360,50,Kennard is playing a 3-point specialist role for the Lakers. I expect him to pick up some slack until Luka and Reaves are back.
,311,Spencer Jones,SF/PF,DEN,6/14/2001,24.8,345,34,"Spencer Jones' fantasy output has been very inconsistent, but he's playing a lot of minutes this year. Continuing to monitor him."
,312,Jamaree Bouyea,PG/SG,PHO,6/27/1999,26.8,425,113,Bouyea has played limited minutes for the Suns and had a few moments here and there.
,313,Jordan Miller,SF/PF,LAC,1/23/2000,26.2,407,94,Jordan Miller is a downright Summer League superstar. Can he secure some real/consistent NBA minutes at some point? He needs to leave the Clippers.
,314,Julian Strawther,SG/SF,DEN,4/18/2002,24.0,331,17,Strawther has basically fallen out of the Nuggets' rotation and remains to be seen if he returns.
,315,Terrance Shannon Jr.,SG/SF,MIN,7/30/2000,25.7,225,-90,˙ɹǝɥʇouɐ sᴉ ſS┴ ˙ʇɐɥʇ ʇdǝɔɔɐ oʇ ǝʌɐɥ ʇsnɾ ǝʍ puɐ 'ɹǝʇsoɹ ɹᴉǝɥʇ uo sǝɯɐƃ ǝɥʇ ɟo ʎuɐɯ os uᴉ ʇsnɹʇ oʇ ƃuᴉoƃ ɹǝʌǝu sᴉ ɥɔuᴉℲ sᴉɹɥƆ
,316,Sandro Mamukelashvili,PF/C,TOR,5/23/1999,26.9,270,-46,Mamu set an NBA record 34 points in 19 minutes. What can he do with the possibility of more run in Toronto? Time will tell.
,317,Quentin Post,PF/C,GSW,3/21/2000,26.1,252,-65,There's some real upside with Post that Golden State could tap into. He's a good rotation piece and able to produce in limited minutes.
,318,Adem Bona,PF/C,PHI,3/28/2003,23.1,258,-60,Bona appears to be a current lock for Philadelphia's primary backup to Joel Embiid. He's looked sharp for a bench big since early 2025.
,319,Corey Kispert,SG/SF,ATL,3/3/1999,27.1,287,-32,Kispert was traded to Atlanta and has been on the outside of the rotation. Not expecting a solid role unless guys are moved or he's traded again.
,320,Jonas Valančiūnas,C,DEN,5/6/1992,33.9,276,-44,Valančiūnas has looked pretty steady in Denver and Sacramento alike. Not much value unless Jokic goes down like he did earlier this year.
,321,Tyler Kolek,PG/SG,NYK,3/27/2001,25.1,288,-33,"Kolek bag holders, take a lap. He's finally starting to figure it out and build on some good games over the last few months. We'll see if it can stay moving forward."
,322,Bogdan Bogdanovic,SG/SF,LAC,8/18/1992,33.7,274,-48,Bogi shook the rust off recently and looked good for the Clippers post-deadline. Beal coming in may hurt his opportunities but returning to 6MOY is not impossible one day.
,323,Luka Garza,PF/C,BOS,12/27/1998,27.3,333,10,Garza has been playing a backup role to Queta in Boston. He's far from ideal but playing fine enough.
,324,Karlo Matkovic,PF/C,NOP,3/30/2001,25.1,356,32,"I like Karlo Matkovic and thought earning a real long term role was a possibility, but Troy Weaver cooked any chances of that by now."
,325,Andre Drummond,C,PHI,8/10/1993,32.7,315,-10,"I don't know how he does it, but Andre Drummond continues to survive and deliver some quality play in philly. "
,326,Tyrese Proctor,PG/SG,CLE,4/1/2004,22.0,296,-30,Proctor is waiting behind Craig Porter Jr. for NBA minutes. Likely won't happen for him this year unless there's injuries. 
,327,Rocco Zikarsky,C,MIN,7/11/2006,19.2,354,27,"Rocco needs a ton of time to keep developing, but early G League returns have been pretty good so far."
