season,team,player,jersey,pos,height,weight,dob,age,yos,draft,nationality,birthplace,pre_draft,prior_team,contract,fa_year,salary_26_27
2026-27,DEN,David Roddy,45,F,6'5,255,03/27/01,25.27,4,2022-23,USA,MN - Minneapolis,Colorado State,Denver Nuggets,RFA,,
2026-27,DEN,KJ Simpson,25,G,6'2,190,08/08/02,23.91,2,2024-42,USA,CA - Los Angeles,Colorado,Denver Nuggets,Two-Way,,
2026-27,DEN,Julian Strawther,3,G,6'6,205,04/18/02,24.21,3,2023-29,USA,NV - Las Vegas,Gonzaga,Denver Nuggets,4 yr / $12.5M,2027,4826931
2026-27,DEN,Jonas Valanciunas,17,C,6'11,265,05/06/92,34.17,14,2011-05,LTU,Lithuania - Utena,Rytas Vilnius (Lithuania),Denver Nuggets,3 yr / $30.3M,2027,10000000
2026-27,DEN,Peyton Watson,8,F,6'8,200,09/11/02,23.81,4,2022-30,USA,CA - Beverly Hills,UCLA,Denver Nuggets,RFA,,
2026-27,DET,Drake Allen,29,G,6'4,190,04/23/01,25.20,R,2026-ND,USA,UT - Eagle Mountain,Utah State,Utah State,Exhibit 10,,
2026-27,DET,John Collins,,F,6'9,225,09/23/97,28.79,9,2017-19,USA,UT - Layton,Wake Forest,Los Angeles Clippers,3 yr / $51M,2029,16190476
2026-27,DET,Cade Cunningham,2,G,6'6,220,09/25/01,24.78,5,2021-01,USA,TX - Arlington,Oklahoma State,Detroit Pistons,5 yr / $269M,2030,50105628
2026-27,DET,Jalen Duren,0,C,6'10,250,11/18/03,22.63,4,2022-13,USA,PA - Sharon Hill,Memphis,Detroit Pistons,RFA,,
2026-27,DET,Javonte Green,31,G,6'5,205,07/23/93,32.97,7,2015-ND,"USA, MNE",VA - Petersburg,Radford,Detroit Pistons,1 yr / $4M,2027,
2026-27,DET,Jaden Henley,39,F,6'7,215,04/24/04,22.19,R,2026-ND,CAN,CA - Baldwin Park,Grand Canyon,Grand Canyon,Exhibit 10,,
2026-27,DET,Ron Holland II,5,F,6'8,205,07/07/05,20.99,2,2024-05,USA,TX - Duncanville,G League Ignite,Detroit Pistons,4 yr / $37.5M,2027 +1,9069600
2026-27,DET,Kevin Huerter,27,G,6'6,200,08/27/98,27.87,8,2018-19,USA,NY - Albany,Maryland,Detroit Pistons,3 yr / $27M,2028 +1,8333333
2026-27,DET,Daniss Jenkins,24,G,6'4,165,08/17/01,24.88,2,2024-ND,USA,TX - Dallas,St. John's,Detroit Pistons,2 yr / $7.8M,2027,4000000
2026-27,DET,Isaiah Joe,,G,6'4,165,07/02/99,27.01,6,2020-49,USA,AR - Fort Smith,Arkansas,Oklahoma City Thunder,4 yr / $48M,2027 +1,11323006
2026-27,DET,Isaac Jones,13,F,6'8,245,07/11/00,25.98,2,2024-ND,USA,WA - Spanaway,Washington State,Detroit Pistons,Two-Way,,
2026-27,DET,Chaz Lanier,20,G,6'3,205,12/19/01,24.54,1,2025-37,USA,TN - Nashville,Tennessee,Detroit Pistons,4 yr / $8.7M,2028 +1,2150917
2026-27,DET,Caris LeVert,8,G,6'7,205,08/25/94,31.87,10,2016-20,USA,OH - Columbus,Michigan,Detroit Pistons,2 yr / $28.9M,2027,14809200
2026-27,DET,Wendell Moore Jr.,14,G,6'5,215,09/18/01,24.79,4,2022-26,USA,VA - Richmond,Duke,Detroit Pistons,RFA,,
2026-27,DET,Ebuka Okorie,23,G,6'1,185,04/10/07,19.23,R,2026-17,USA,NH - Nashua,Stanford,Stanford,4 yr / $21.7M,2028 +2,4482360
2026-27,DET,Ugonna Onyenso,34,C,6'11,235,09/25/04,21.77,R,2026-53,NGR,Nigeria - Owerri,Virginia,Virginia,Two-Way,,
2026-27,DET,Paul Reed,7,C,6'9,210,06/14/99,27.06,6,2020-58,USA,FL - Orlando,DePaul,Detroit Pistons,2 yr / $10.9M,2027,5602689
2026-27,DET,Duncan Robinson,55,G,6'7,215,04/22/94,32.21,8,2018-ND,USA,ME - York,Michigan,Detroit Pistons,3 yr / $48M,2028,15992957
2026-27,DET,Marcus Sasser,25,G,6'1,195,09/21/00,25.79,3,2023-25,USA,TX - Dallas,Houston,Detroit Pistons,4 yr / $13.5M,2027,5198983
2026-27,DET,Tolu Smith III,35,F,6'11,255,07/24/00,25.94,2,2024-ND,USA,MS - Bay St. Louis,Mississippi State,Detroit Pistons,2 yr / $2.5M,2027,2411090
2026-27,DET,Corey Stephenson,47,F,6'6,220,05/05/04,22.16,R,2026-ND,USA,AL - Hueytown,Florida International,Florida International,Exhibit 10,,
2026-27,DET,Ausar Thompson,9,F,6'7,205,01/30/03,23.43,3,2023-05,USA,CA - Oakland,City Reapers (Overtime Elite),Detroit Pistons,4 yr / $36.2M,2027,11117925
2026-27,GSW,Nick Boyd,,G,6'3,175,04/23/01,25.20,R,2026-ND,USA,NY - Garnerville,Wisconsin,Wisconsin,Exhibit 10,,
2026-27,GSW,Jimmy Butler,10,F,6'6,230,09/14/89,36.81,15,2011-30,USA,TX - Houston,Marquette,Golden State Warriors,2 yr / $111M,2027,56832773
2026-27,GSW,LJ Cryer,18,G,6'1,200,10/09/01,24.74,R,2025-ND,USA,LA - New Orleans,Houston,Golden State Warriors,Two-Way,,
2026-27,GSW,Stephen Curry,30,G,6'2,185,03/14/88,38.32,17,2009-07,USA,OH - Akron,Davidson,Golden State Warriors,1 yr / $62.6M,2027,62587158
2026-27,GSW,Draymond Green,23,F,6'6,230,03/04/90,36.35,14,2012-35,USA,MI - Saginaw,Michigan State,Golden State Warriors,,,
2026-27,GSW,Al Horford,20,C,6'8,240,06/03/86,40.10,19,2007-03,DOM,Dominican Republic - Puerto Plata,Florida,Golden State Warriors,2 yr / $14M,2028,6822000
2026-27,GSW,Graham Ike,,F,6'9,250,08/03/02,23.92,R,2026-ND,USA,CO - Aurora,Gonzaga,Gonzaga,Exhibit 10,,
2026-27,GSW,Lajae Jones,25,F,6'7,220,05/21/04,22.12,R,2026-54,USA,FL - Jacksonville,Florida State,Florida State,2nd Rd Pick,,
2026-27,GSW,Yaxel Lendeborg,1,F,6'8,240,09/30/02,23.76,R,2026-11,"DOM, USA",Puerto Rico - San Juan,Michigan,Michigan,4 yr / $28.1M,2028 +2,6097680
2026-27,GSW,Malevy Leons,33,F,6'9,210,09/23/99,26.78,2,2024-ND,NED,Netherlands - Ijmuiden,Bradley,Golden State Warriors,Two-Way,,
2026-27,GSW,De'Anthony Melton,8,G,6'2,200,05/28/98,28.11,8,2018-46,USA,CA - North Hollywood,USC,Golden State Warriors,2 yr / $11M,2028,5477000
2026-27,GSW,Moses Moody,4,G,6'5,210,05/31/02,24.10,5,2021-14,USA,AR - Little Rock,Arkansas,Golden State Warriors,3 yr / $37.5M,2028,12500000
2026-27,GSW,Brandin Podziemski,2,G,6'4,205,02/25/03,23.36,3,2023-19,USA,WI - Greenfield,Santa Clara,Golden State Warriors,4 yr / $16.2M,2027,5679459
2026-27,GSW,Kristaps Porzingis,7,C,7'2,240,08/02/95,30.94,10,2015-04,LAT,Latvia - Liepaja,Sevilla (Spain),Golden State Warriors,2 yr / $40M,2027 +1,20000000
2026-27,MEM,Quinten Post,21,F,7'0,240,03/21/00,26.29,2,2024-52,NED,Netherlands - Amsterdam,Boston College,Memphis Grizzlies,3 yr / $30M,,9500000
2026-27,GSW,Will Richard,3,G,6'3,205,12/24/02,23.53,1,2025-56,USA,GA - Fairburn,Florida,Golden State Warriors,4 yr / $8.7M,2028 +1,2150917
2026-27,GSW,Gui Santos,15,F,6'7,185,06/22/02,24.04,3,2022-55,BRA,Brazil - Brasilia,Minas (Brazil),Golden State Warriors,3 yr / $15M,2028 +1,4629630
2026-27,GSW,Nate Williams,19,F,6'5,205,02/12/99,27.39,4,2022-ND,USA,NY - Rochester,Buffalo,Golden State Warriors,RFA,,
2026-27,GSW,Charles Bassey,,C,,,10/28/00,25.70,,,,,,Memphis Grizzlies,1 yr / $2.845883M,2027,2845883
2026-27,HOU,Steven Adams,12,C,6'11,265,07/20/93,32.96,12,2013-12,NZL,New Zealand - Rotorua,Pittsburgh,Houston Rockets,3 yr / $39M,2028,13000000
2026-27,HOU,Bogdan Bogdanovic,,G,6'5,225,08/18/92,33.90,9,2014-27,SRB,Serbia - Belgrade,Fenerbahce (Turkey),Los Angeles Clippers,1 yr / $3.9M,2027,3876529
2026-27,HOU,Clint Capela,30,C,6'10,255,05/18/94,32.14,12,2014-25,SUI,Switzerland - Geneva,Chalon (France),Houston Rockets,3 yr / $21.1M,2028,7035000
2026-27,HOU,Quadir Copeland,,G,6'6,220,09/04/03,22.83,R,2026-ND,USA,PA - Gettysburg,North Carolina State,North Carolina State,Two-Way,,
2026-27,HOU,Isaiah Crawford,27,F,6'6,220,11/01/01,24.67,2,2024-ND,USA,TX - Forth Worth,Louisiana Tech,Houston Rockets,RFA,,
2026-27,HOU,JD Davison,4,G,6'1,195,10/03/02,23.75,4,2022-53,USA,AL - Montgomery,Alabama,Houston Rockets,2 yr / $2.7M,2027,2584539
2026-27,HOU,Kevin Durant,7,F,6'11,240,09/29/88,37.77,18,2007-02,USA,DC - Washington,Texas,Houston Rockets,2 yr / $90M,2027 +1,43902439
2026-27,HOU,Tari Eason,17,F,6'8,215,05/10/01,25.15,4,2022-17,USA,VA - Portsmouth,LSU,Houston Rockets,5 yr / $81.5M,2030 +1,14051724
2026-27,HOU,Tristen Newton,00,G,6'5,190,04/26/01,25.19,2,2024-49,USA,FL - Pensacola,Connecticut,Houston Rockets,Two-Way,,
2026-27,HOU,Alperen Sengun,28,C,6'11,245,07/25/02,23.95,5,2021-16,TUR,Turkey - Giresun,Besiktas (Turkey),Houston Rockets,5 yr / $185M,2029 +1,35642202
2026-27,HOU,Reed Sheppard,15,G,6'2,185,06/24/04,22.03,2,2024-03,USA,KY - London,Kentucky,Houston Rockets,4 yr / $45.9M,2027 +1,11108880
2026-27,HOU,Marcus Smart,,G,6'3,220,03/06/94,32.35,12,2014-06,USA,TX - Flower Mound,Oklahoma State,Los Angeles Lakers,2 yr / $13M,2028,6368000
2026-27,HOU,Jabari Smith Jr.,10,F,6'11,220,05/13/03,23.15,4,2022-03,USA,GA - Fayetteville,Auburn,Houston Rockets,5 yr / $122M,2031,23643411
2026-27,HOU,Amen Thompson,1,G,6'7,200,01/30/03,23.43,3,2023-04,USA,CA - Oakland,City Reapers (Overtime Elite),Houston Rockets,4 yr / $40M,2027,12258609
2026-27,HOU,Bruce Thornton,3,G,6'0,225,09/14/03,22.81,R,2026-31,USA,GA - Fairburn,Ohio State,Ohio State,2nd Rd Pick,,
2026-27,HOU,Fred VanVleet,5,G,6'0,195,02/25/94,32.36,9,2016-ND,USA,IL - Rockford,Wichita State,Houston Rockets,2 yr / $50M,2027,25000000
2026-27,IND,Johnny Furphy,12,G,6'8,200,12/08/04,21.57,2,2024-35,AUS,Australia - Melbourne,Kansas,Indiana Pacers,4 yr / $8.6M,2027 +1,2296271
2026-27,IND,Tyrese Haliburton,0,G,6'5,185,02/29/00,26.35,5,2020-12,USA,WI - Oshkosh,Iowa State,Indiana Pacers,5 yr / $245M,2029,48924624
2026-27,IND,Jay Huff,32,C,7'1,240,08/25/98,27.86,5,2021-ND,USA,NC - Durham,Virginia,Indiana Pacers,4 yr / $10.1M,2027 +1,2667944
2026-27,IND,Quenton Jackson,29,G,6'4,175,09/15/98,27.81,4,2022-ND,USA,CA - Los Angeles,Texas A&M,Indiana Pacers,3 yr / $6.1M,2028,2584539
2026-27,IND,Keba Keita,13,C,6'8,230,08/20/03,22.87,R,2026-ND,MLI,Mali - Bamako,BYU,BYU,Exhibit 10,,
2026-27,IND,Tamin Lipsey,14,G,6'1,200,06/25/03,23.03,R,2026-ND,USA,IA - Ames,Iowa State,Iowa State,Exhibit 10,,
2026-27,IND,Rienk Mast,51,C,6'10,250,07/19/01,24.96,R,2026-ND,NED,Netherlands - Groningen,Nebraska,Nebraska,Exhibit 10,,
2026-27,IND,T.J. McConnell,9,G,6'1,190,03/25/92,34.28,11,2015-ND,USA,PA - Pittsburgh,Arizona,Indiana Pacers,4 yr / $44.8M,2028 +1,11000000
2026-27,IND,Andrew Nembhard,2,G,6'4,190,01/16/00,26.47,4,2022-31,CAN,Canada - Aurora,Gonzaga,Indiana Pacers,3 yr / $58.7M,2028,19550160
2026-27,IND,Aaron Nesmith,23,F,6'5,215,10/16/99,26.72,6,2020-14,USA,SC - Charleston,Vanderbilt,Indiana Pacers,2 yr / $40.4M,2029,11000000
2026-27,IND,Kelly Oubre Jr.,,F,6'8,205,12/09/95,30.59,11,2015-15,USA,LA - New Orleans,Kansas,Philadelphia 76ers,2 yr / $17M,2028,8292683
2026-27,IND,Taelon Peter,4,G,6'3,185,02/27/02,24.35,1,2025-54,USA,AR - Russellville,Liberty,Indiana Pacers,Two-Way,,
2026-27,IND,Micah Potter,11,C,6'9,250,04/06/98,28.25,5,2021-ND,USA,OH - Mentor,Wisconsin,Indiana Pacers,2 yr / $4.3M,2026 +1,2801346
2026-27,IND,Kowacie Reeves Jr.,16,G,6'7,205,01/31/03,23.42,R,2026-ND,USA,GA - Macon,Georgia Tech,Georgia Tech,Exhibit 10,,
2026-27,IND,Ben Sheppard,26,G,6'6,190,07/16/01,24.97,3,2023-26,USA,GA - Atlanta,Belmont,Indiana Pacers,4 yr / $13M,2027,5031669
2026-27,IND,Pascal Siakam,43,F,6'8,245,04/02/94,32.26,10,2016-27,CMR,Cameroon - Douala,New Mexico State,Indiana Pacers,4 yr / $189M,2028,48924624
2026-27,IND,Jalen Slawson,18,F,6'7,215,10/22/99,26.70,2,2023-54,USA,SC - Charleston,Furman,Indiana Pacers,RFA,,
2026-27,IND,Braden Smith,3,G,5'10,165,07/25/03,22.95,R,2026-38,USA,AR - Russellville,Purdue,Purdue,2nd Rd Pick,,
2026-27,IND,Ethan Thompson,55,G,6'4,195,04/04/98,27.25,1,2021-ND,USA,CA - Harbor City,Oregon State,Indiana Pacers,Two-Way,,
2026-27,IND,Obi Toppin,1,F,6'9,220,03/04/98,28.34,6,2020-08,USA,NY - Brooklyn,Dayton,Indiana Pacers,4 yr / $58M,2028,15000000
2026-27,IND,Jarace Walker,5,F,6'7,235,09/04/03,22.83,3,2023-08,USA,MD - Baltimore,Houston,Indiana Pacers,4 yr / $27.6M,2027,8478542
2026-27,IND,Ivica Zubac,40,C,7'0,240,03/18/97,29.30,10,2016-32,CRO,Bosnia - Mostar,Mega Basket (Serbia),Indiana Pacers,3 yr / $58.7M,2028,20342140
2026-27,IND,Larry Nance Jr.,,F,,,01/01/93,33.50,,,,,,Cleveland Cavaliers,1 yr / $3.876529M,2027,3876529
2026-27,LAC,Cam Christie,12,G,6'5,190,07/24/05,20.95,2,2024-46,USA,IL - Arlington Heights,Minnesota,Los Angeles Clippers,4 yr / $7.9M,2027 +1,2296271
2026-27,LAC,Gradey Dick,,G,6'7,200,11/20/03,22.63,3,2023-13,USA,KS - Wichita,Kansas,Toronto Raptors,4 yr / $21.4M,2027,7131511
2026-27,LAC,Kris Dunn,8,G,6'3,205,03/18/94,32.30,10,2016-05,USA,CT - New London,Providence,Los Angeles Clippers,3 yr / $16.3M,2027,5684800
2026-27,LAC,Darius Garland,10,G,6'1,190,01/26/00,26.44,7,2019-05,USA,IN - Gary,Vanderbilt,Los Angeles Clippers,5 yr / $197M,2028,42166510
2026-27,LAC,Brandon Ingram,,F,6'8,190,09/02/97,28.85,10,2016-02,USA,NC - Kinston,Duke,Toronto Raptors,3 yr / $120M,2027 +1,40000000
2026-27,LAC,Rui Hachimura,,F,6'8,230,02/08/98,28.42,6,2019-09,JPN,Japan - Toyama,Gonzaga,Los Angeles Lakers,2 yr / $28.0M,2027 +1,14000000
2026-27,LAC,Isaiah Jackson,23,C,6'8,205,01/10/02,24.48,5,2021-22,USA,MI - Pontiac,Kentucky,Los Angeles Clippers,3 yr / $21M,2028,7000000
2026-27,LAC,Derrick Jones Jr.,5,F,6'6,210,02/15/97,29.39,10,2016-ND,USA,PA - Chester,UNLV,Los Angeles Clippers,3 yr / $30M,2027,10476190
2026-27,LAC,Yanic Konan Niederhauser,14,C,6'11,240,03/14/03,23.31,1,2025-30,SUI,Switzerland - Bern,Penn State,Los Angeles Clippers,4 yr / $14.1M,2027 +1,2880960
2026-27,LAC,Brook Lopez,11,C,7'1,280,04/01/88,38.27,18,2008-10,USA,CA - Los Angeles,Stanford,Los Angeles Clippers,2 yr / $17.9M,2027,9187500
2026-27,LAC,Fletcher Loyer,,G,6'4,180,09/01/03,22.84,R,2026-ND,USA,MI - Clarkson,Purdue,Purdue,Exhibit 10,,
2026-27,LAC,Nick Martinelli,,F,6'6,225,04/20/04,22.21,R,2026-55,USA,IL - Glenview,Northwestern,Northwestern,Two-Way,,
2026-27,LAC,Bennedict Mathurin,9,F,6'5,210,06/19/02,24.04,4,2022-06,CAN,Canada - Montreal,Arizona,Los Angeles Clippers,RFA,,
2026-27,LAC,Baba Miller,,F,6'10,210,02/07/04,22.41,R,2026-36,ESP,Spain - Mallorca,Cincinnati,Cincinnati,2nd Rd Pick,,
2026-27,LAC,Jordan Miller,22,F,6'5,195,01/23/00,26.45,3,2023-48,USA,CA - Anaheim,Miami (FL),Los Angeles Clippers,3 yr / $15.3M,2029,
2026-27,LAC,Narcisse Ngoy,,C,7'0,235,07/13/04,21.98,R,2026-57,FRA,France - Cahmpigny-sur-Marne,Poitiers (France),Poitiers (France),2nd Rd Pick,,
2026-27,LAC,Sean Pedulla,00,G,6'1,195,10/10/02,23.73,1,2025-ND,USA,OK - Edmond,Mississippi,Los Angeles Clippers,RFA,,
2026-27,LAC,Kobe Sanders,4,G,6'8,205,05/30/02,24.10,1,2025-50,USA,CA - Spring Valley,Nevada,Los Angeles Clippers,4 yr / $11.2M,2029 +1,2500000
2026-27,LAC,Keaton Wagler,1,G,6'5,190,02/03/07,19.41,R,2026-05,USA,KS - Shawnee,Illinois,Illinois,4 yr / $44M,2028 +2,9677040
2026-27,LAC,TyTy Washington Jr.,15,G,6'3,195,11/15/01,24.64,4,2022-29,USA,AZ - Phoenix,Kentucky,Los Angeles Clippers,RFA,,
2026-27,LAL,Robbie Avila,,C,6'10,240,09/10/03,22.82,R,2026-ND,USA,IL - Oak Forest,Saint Louis,Saint Louis,Exhibit 10,,
2026-27,LAL,Cameron Carr,43,G,6'4,185,11/21/04,21.62,R,2026-24,USA,MN - Eden Prairie,Baylor,Baylor,4 yr / $16.8M,2028 +2,3316200
2026-27,LAL,Luka Doncic,77,G,6'8,230,02/28/99,27.35,8,2018-03,SLO,Slovenia - Ljubljana,Real Madrid (Spain),Los Angeles Lakers,3 yr / $160M,2028 +1,49500000
2026-27,LAL,Quentin Grimes,,G,6'4,210,05/08/00,26.17,5,2021-25,USA,TX - Houston,Houston,Philadelphia 76ers,4 yr / $60M,2030,13953488
2026-27,LAL,Jaden Hardy,,G,6'3,200,07/05/02,24.01,3,2022-37,USA,MI - Detroit,G League Ignite,Washington Wizards,3 yr / $18M,2027 +1,6000000
2026-27,LAL,Bronny James,9,G,6'2,210,10/06/04,21.74,2,2024-55,USA,OH - Akron,USC,Los Angeles Lakers,4 yr / $7.9M,2027 +1,2296271
2026-27,LAL,LeBron James,23,F,6'9,250,12/30/84,41.53,22,2003-01,USA,OH - Akron,St. Vincent-St. Mary (OH),Los Angeles Lakers,UFA,,
2026-27,LAL,Walker Kessler,,C,7'2,245,07/26/01,24.95,4,2022-22,USA,GA - Atlanta,Auburn,Utah Jazz,4 yr / $130M,2029,30232558
2026-27,LAL,Dalton Knecht,4,F,6'6,215,04/19/01,25.21,2,2024-17,USA,ND - Fargo,Tennessee,Los Angeles Lakers,4 yr / $18.5M,2027 +1,4201080
2026-27,LAL,William Kyle III,,F,6'9,230,03/01/04,22.34,R,2026-ND,USA,NE - Bellevue,Syracuse,Syracuse,Exhibit 10,,
2026-27,LAL,Jake LaRavia,12,F,6'7,235,11/03/01,24.67,4,2022-19,USA,CA - Pasadena,Wake Forest,Los Angeles Lakers,2 yr / $12M,2027,6000000
2026-27,LAL,Kevon Looney,,C,6'9,222,02/06/96,30.42,10,2015-30,USA,CA - Riverside,UCLA,Los Angeles Lakers,1 yr / $2.4M,2027,2449421
2026-27,LAL,Sandro Mamukelashvili,,C,6'9,240,05/23/99,27.13,5,2021-54,GEO,NY - New York City,Seton Hall,Toronto Raptors,4 yr / $52M,2029 +1,12093023
2026-27,LAL,Chris Manon,30,G,6'4,210,12/09/01,24.57,1,2025-ND,USA,NJ - New Milford,Vanderbilt,Los Angeles Lakers,RFA,,
2026-27,LAL,Robert McCray V,,G,6'4,188,09/26/02,23.77,R,2026-ND,USA,SC - Columbia,Florida State,Florida State,Exhibit 10,,
2026-27,LAL,AK Okereke,,F,6'7,245,07/02/03,23.01,R,2026-ND,USA,CA - Clovis,Vanderbilt,Vanderbilt,Two-Way,,
2026-27,LAL,Austin Reaves,15,G,6'5,195,05/29/98,28.10,5,2021-ND,USA,AR - Newark,Oklahoma,Los Angeles Lakers,4 yr / $185M,2029 +1,41240250
2026-27,LAL,Chase Ross,,G,6'5,210,02/07/03,23.41,R,2026-ND,USA,TX - Dallas,Marquette,Marquette,Exhibit 10,,
2026-27,LAL,Collin Sexton,,G,6'3,190,01/04/99,27.51,8,2018-08,USA,GA - Marietta,Alabama,Chicago Bulls,2 yr / $19M,2027 +1,9366000
2026-27,LAL,Peter Suder,,G,6'3,215,07/29/03,22.93,R,2026-ND,USA,IN - Carmel,Miami (OH),Miami (OH),Two-Way,,
2026-27,LAL,Adou Thiero,1,F,6'7,220,05/08/04,22.16,1,2025-36,USA,UT - Salt Lake City,Arkansas,Los Angeles Lakers,3 yr / $5.9M,2027 +2,2150917
2026-27,LAL,Drew Timme,17,F,6'9,235,09/09/00,25.82,2,2023-ND,USA,TX - Richardson,Gonzaga,Los Angeles Lakers,RFA,,
2026-27,LAL,Jarred Vanderbilt,2,F,6'8,215,04/03/99,27.26,8,2018-41,USA,TX - Houston,Kentucky,Los Angeles Lakers,4 yr / $48M,2027 +1,12428571
2026-27,DAL,Santi Aldama,7,F,7'0,215,01/10/01,25.48,5,2021-30,ESP,Spain - Las Palmas,Loyola (MD),Dallas Mavericks,3 yr / $52.5M,2027 +1,17007043
2026-27,MEM,Cameron Boozer,27,F,6'8,255,07/18/07,18.96,R,2026-03,USA,UT - Salt Lake City,Duke,Duke,4 yr / $53.8M,2028 +2,11852520
2026-27,MEM,Kentavious Caldwell-Pope,3,G,6'5,205,02/18/93,33.38,13,2013-08,USA,GA - Thomaston,Georgia,Memphis Grizzlies,3 yr / $66M,2027,21621500
2026-27,MEM,Walter Clayton Jr.,4,G,6'4,195,03/06/03,23.33,1,2025-18,USA,FL - Sebring,Florida,Memphis Grizzlies,4 yr / $19.3M,2027 +2,4190520
2026-27,MEM,Zach Cleveland,,F,6'7,220,03/12/04,22.31,R,2026-ND,USA,IL - Normal,Liberty,Liberty,Exhibit 10,,
2026-27,MEM,Carson Cooper,20,C,6'11,245,02/04/04,22.24,R,2026-ND,USA,MI - Jackson,Michigan State,Michigan State,Two-Way,,
2026-27,MEM,Cedric Coward,23,G,6'5,205,09/11/03,22.81,1,2025-11,USA,CA - Fresno,Washington State,Memphis Grizzlies,4 yr / $26.3M,2027 +2,6001080
2026-27,MEM,Zach Edey,14,C,7'3,305,05/14/02,24.14,2,2024-09,CAN,Canada - Toronto,Purdue,Memphis Grizzlies,4 yr / $26.2M,2027 +1,6332760
2026-27,MEM,Taj Gibson,67,C,6'9,230,06/24/85,41.04,17,2009-26,USA,NY - New York City,USC,Memphis Grizzlies,2 yr / $4.8M,2027,3815861
2026-27,MEM,Taylor Hendricks,22,F,6'9,215,11/22/03,22.62,3,2023-09,USA,FL - Fort Lauderdale,UCF,Memphis Grizzlies,4 yr / $25.4M,2027,7805900
2026-27,MEM,GG Jackson II,45,F,6'9,210,12/17/04,21.55,3,2023-45,USA,SC - Columbia,South Carolina,Memphis Grizzlies,4 yr / $8.5M,2027,2406205
2026-27,MEM,Ty Jerome,2,G,6'5,195,07/08/97,28.99,7,2019-24,USA,NY - New York City,Virginia,Memphis Grizzlies,3 yr / $27.7M,2027,9220050
2026-27,MEM,Karim Lopez,35,F,6'8,220,04/12/07,19.23,R,2026-21,MEX,Mexico - Hermosillo,New Zealand Breakers (Australia),New Zealand Breakers (Australia),4 yr / $18.4M,2028 +2,3747720
2026-27,MEM,Jahmai Mashack,21,G,6'4,205,11/10/02,23.65,1,2025-59,USA,CA - Riverside,Tennessee,Memphis Grizzlies,Two-Way,,
2026-27,MEM,Scotty Pippen Jr.,1,G,6'2,170,11/10/00,25.65,4,2022-ND,USA,OR - Portland,Vanderbilt,Memphis Grizzlies,4 yr / $9.6M,2027 +1,2461462
2026-27,MEM,Olivier-Maxence Prosper,18,F,6'7,230,07/03/02,24.01,3,2023-24,CAN,Canada - Montreal,Marquette,Memphis Grizzlies,2 yr / $3M,2026 +1,2497812
2026-27,MEM,Richie Saunders,5,G,6'5,205,09/19/01,24.79,R,2026-32,USA,UT - Riverton,BYU,BYU,2nd Rd Pick,,
2026-27,MEM,Javon Small,10,G,6'1,190,12/19/02,23.54,1,2025-48,USA,IN - South Bend,West Virginia,Memphis Grizzlies,Two-Way,,
2026-27,MEM,Cam Spencer,24,G,6'3,205,04/06/00,26.25,2,2024-53,USA,MD - Davidsonville,Connecticut,Memphis Grizzlies,4 yr / $10.4M,2028 +1,2411090
2026-27,MEM,Isaiah Stewart,28,C,6'8,250,05/22/01,25.12,6,2020-16,USA,NY - Rochester,Washington,Detroit Pistons,4 yr / $60M,2027 +1,15000000
2026-27,MEM,Jaylen Wells,0,G,6'7,205,08/26/03,22.86,2,2024-39,USA,CA - Sacramento,Washington State,Memphis Grizzlies,4 yr / $7.9M,2027 +1,2296271
2026-27,MEM,Jerami Grant,,F,6'7,215,03/12/94,32.32,12,2014-39,USA,OR - Portland,Syracuse,Portland Trail Blazers,5 yr / $160M,2027 +1,34206898
2026-27,MEM,Kris Murray,,F,6'8,220,08/19/00,25.88,3,2023-23,USA,IA - Cedar Rapids,Iowa,Portland Trail Blazers,4 yr / $14.3M,2027,5315004
2026-27,MIA,Bam Adebayo,13,C,6'9,255,07/18/97,28.97,9,2017-14,USA,NJ - Newark,Kentucky,Miami Heat,3 yr / $160M,2028 +1,49500000
2026-27,MIA,Giannis Antetokounmpo,,F,6'11,245,12/06/94,31.58,13,2013-15,"GRE, NGR",Greece - Athens,Filathlitikos (Greece),Milwaukee Bucks,3 yr / $175M,2027 +1,58456566
2026-27,MIA,Ryan Conwell,7,G,6'2,215,06/15/04,22.05,R,2026-37,USA,IN - Indianapolis,Louisville,Louisville,3 yr / $6.3M,2028 +1,1357763
2026-27,MIA,Tre Donaldson,11,G,6'3,195,12/11/03,22.56,R,2026-ND,USA,FL - Tallahassee,Miami (FL),Miami (FL),Two-Way,,
2026-27,MIA,Simone Fontecchio,0,F,6'7,210,12/09/95,30.59,4,2017-ND,ITA,Italy - Pescara,EA7 Milano (Italy),Miami Heat,1 yr / $2.6M,2027,2626248
2026-27,MIA,Myron Gardner,15,F,6'5,220,05/21/01,25.12,1,2023-ND,USA,MI - Detroit,Little Rock,Miami Heat,3 yr / $5.5M,2028,2584539
2026-27,MIA,Vladislav Goldin,50,C,7'0,250,05/12/01,25.15,1,2025-ND,RUS,Russia - Nalchik,Michigan,Miami Heat,RFA,,
2026-27,MIA,J'Vonne Hadley,,F,6'7,210,04/03/02,24.25,R,2026-ND,USA,MN - St. Paul,Louisville,Louisville,Exhibit 10,,
2026-27,MIA,Keyshawn Hall,,G,6'6,225,04/09/03,23.24,R,2026-ND,USA,OH - Cleveland,Auburn,Auburn,Exhibit 10,,
